city_slug,indicator_key,indicator_label,value,unit,year,source_url,source_label,source_accessed
paris-marne-la-vallee,population,Population (city proper),2074370,people,2025,https://worldpopulationreview.com/cities,World Population Review,
lisboa,population,Population (city proper),596952,people,2026,https://worldpopulationreview.com/cities,World Population Review,
koeln,population,Population (city proper),1028273,people,2025,https://worldpopulationreview.com/cities,World Population Review,
helsinki-region,population,Population (city proper),696374,people,2026,https://worldpopulationreview.com/cities,World Population Review,
paris-marne-la-vallee,area_km2,Area (city proper),105,km²,,https://citypopulation.de/en/,citypopulation.de,
lisboa,area_km2,Area (city proper),100,km²,,https://citypopulation.de/en/,citypopulation.de,
koeln,area_km2,Area (city proper),405,km²,,https://citypopulation.de/en/,citypopulation.de,
helsinki-region,area_km2,Area (city proper),215,km²,,https://citypopulation.de/en/,citypopulation.de,
paris-marne-la-vallee,green_space_share,Green-space share (GA Index),14.3,%,,https://isglobalranking.org/city/paris-metropolitan-area/#green,IS Global Ranking – Green Area,
lisboa,green_space_share,Green-space share (GA Index),35.0,%,,https://isglobalranking.org/city/lisbon-metropolitan-area/#green,IS Global Ranking – Green Area,
koeln,green_space_share,Green-space share (GA Index),30.3,%,,https://isglobalranking.org/city/cologne-metropolitan-area/#green,IS Global Ranking – Green Area,
helsinki-region,green_space_share,Green-space share (GA Index),41.3,%,,https://isglobalranking.org/city/helsinki-metropolitan-area/#green,IS Global Ranking – Green Area,
koeln,car_density,Car density (Pkw-Dichte),378,per 1000 residents,2021,https://www.stadt-koeln.de/artikel/73904/index.html,Stadt Köln – Kraftfahrzeuge in Köln im Überblick,2026-07-30
koeln,car_density,Car density (Pkw-Dichte),370,per 1000 residents,2022,https://www.stadt-koeln.de/artikel/73904/index.html,Stadt Köln – Kraftfahrzeuge in Köln im Überblick,2026-07-30
koeln,car_density,Car density (Pkw-Dichte),370,per 1000 residents,2023,https://www.stadt-koeln.de/artikel/73904/index.html,Stadt Köln – Kraftfahrzeuge in Köln im Überblick,2026-07-30
koeln,car_density,Car density (Pkw-Dichte),371,per 1000 residents,2024,https://www.stadt-koeln.de/artikel/73904/index.html,Stadt Köln – Kraftfahrzeuge in Köln im Überblick,2026-07-30
koeln,car_density,Car density (Pkw-Dichte),373,per 1000 residents,2025,https://www.stadt-koeln.de/artikel/73904/index.html,Stadt Köln – Kraftfahrzeuge in Köln im Überblick,2026-07-30
koeln,cycle_network,Cycle network (Radverkehrsnetz),1.75,km per 1000 residents,,https://www.stadt-koeln.de/politik-und-verwaltung/presseservice/radverkehrshauptnetz-fuer-alle-stadtbezirke,Stadt Köln – Radverkehrshauptnetz für alle Stadtbezirke,2026-07-30
koeln,modal_split_transit,Modal split – Transit (ÖPNV),18,%,1982,https://www.stadt-koeln.de/mediaasset/content/pdf15/vlr_koeln_de_2023.pdf,Stadt Köln – Verkehrsentwicklung (VLR 2023),2026-07-30
koeln,modal_split_bike,Modal split – Cycling (Rad),9,%,1982,https://www.stadt-koeln.de/mediaasset/content/pdf15/vlr_koeln_de_2023.pdf,Stadt Köln – Verkehrsentwicklung (VLR 2023),2026-07-30
koeln,modal_split_walk,Modal split – Walking (zu Fuß),25,%,1982,https://www.stadt-koeln.de/mediaasset/content/pdf15/vlr_koeln_de_2023.pdf,Stadt Köln – Verkehrsentwicklung (VLR 2023),2026-07-30
koeln,modal_split_car,Modal split – Car (PKW),48,%,1982,https://www.stadt-koeln.de/mediaasset/content/pdf15/vlr_koeln_de_2023.pdf,Stadt Köln – Verkehrsentwicklung (VLR 2023),2026-07-30
