city_slug,phase,position,date_label,status,title,details
koeln,history,1,Okt. 2015,,Gründung der Bürgerinitiative #RingFrei,"Die Initiative entsteht als Reaktion auf eine Serie schwerer Unfälle und den unzureichenden ursprünglichen Plan der Stadt (Shared Bike Lane). Sie wird zu einem breiten Bündnis aus Radfahrenden, Verbänden, Geschäftsleuten und Anwohnern."
koeln,history,2,26. Okt. 2015,,Vorstellung des 10-Punkte-Plans,"Der Plan wird in einer offenen Diskussionsrunde von verschiedenen Radfahrenden, Kommunalpolitikern und Bürgern erarbeitet und als Gegenentwurf zum städtischen Konzept präsentiert."
koeln,history,3,Jun. 2016,,Ratsbeschluss zum Radverkehrskonzept Innenstadt,"Der Rat beauftragt die Verwaltung, den 10-Punkte-Plan der Initiative #RingFrei für die fahrradfreundliche Umgestaltung der Ringe zu prüfen und umzusetzen. Die notwendigen Haushaltsmittel werden in den Folgejahren bereitgestellt."
koeln,delivery,4,2017,,Bruch der Zusammenarbeit,"Die Initiative #RingFrei bricht die Zusammenarbeit mit der Stadt vorübergehend ab, weil kein verbindlicher Zeitplan für die Umsetzung des 10-Punkte-Plans vorgelegt wird."
koeln,delivery,5,Ab 2018,,Beginn der schrittweisen Umsetzung,Start der Umsetzung des Radverkehrskonzepts in mehreren Teilschritten. Die Umgestaltung beginnt mit der Einrichtung erster Radverkehrsführungen.
koeln,delivery,6,2019,,Auszeichnung mit dem Deutschen Fahrradpreis,"Das Aktionsbündnis #RingFrei gewinnt in der Kategorie Kommunikation den ersten Platz. Die Jury lobt die „gezielte Ansprache der Öffentlichkeit, kluge Kommunikationsstrategien, Ausdauer und die Einbindung der Politik“."
koeln,delivery,7,Aug. 2019,,Einführung von Tempo 30,Die durchgängige Tempo-30-Beschilderung auf den gesamten Ringen wird umgesetzt.
koeln,delivery,8,Aug. 2020,,Ubierring – erste Radverkehrsführung,Einrichtung einer komfortablen Radverkehrsführung auf dem Ubierring in nördlicher Fahrtrichtung. Reduzierung der Kfz-Spuren auf eine Fahrspur.
koeln,delivery,9,Jun. 2021,,Verkehrsausschuss-Beschluss,"Der Verkehrsausschuss beschließt die nächste große Ausbaustufe für den Hansaring, Kaiser-Wilhelm-Ring und Hohenzollernring."
koeln,delivery,10,Mai–Aug. 2022,,Drei Kilometer neue Radfahrstreifen,"Umsetzung auf den südlichen Teilabschnitten des Hansarings, des Kaiser-Wilhelm-Rings und des Hohenzollernrings. Es entstehen durchgehend 2,50 Meter breite Radfahrstreifen. Die Markierungsarbeiten erfolgen überwiegend an den Wochenenden."
koeln,delivery,11,Mai 2023,,Lückenschluss am Rudolfplatz,"Schließung einer zentralen Lücke der Radverkehrsverbindung. Damit sind nunmehr neun Kilometer Fahrradinfrastruktur auf den Ringen durchgängig. Veröffentlichung der Kostenschätzung von 2,9 Mio. €."
koeln,delivery,12,13. Dez. 2024,,Letzter Lückenschluss am Barbarossaplatz,Die letzte Lücke wird geschlossen – die vollständig durchgängige Radverkehrsverbindung auf den Kölner Ringen ist erreicht. Insgesamt stehen nun etwa zehn Kilometer (fünf in jede Fahrtrichtung) zur Verfügung. Das Projekt gilt damit als „vorläufig abgeschlossen“.
koeln,outlook,13,,In Planung,Umgestaltung Ebertplatz,"Die Neugestaltung des Ebertplatzes ist ein eigenständiges Großprojekt, das noch in der Planungsphase ist. Eine Fertigstellung wird frühestens ab 2030 erwartet. Die Nordseite des Platzes soll für Autos gesperrt und begrünt werden."
